Abdullah A19EE0180 A B A D A C C D A B C D A D C D A B C D
LuDong A19EE0160 A B D D A C B D D B C A A D C D A B C D
Syarifah AC12CS678 A A D C B C D D A B C C A A C D A D C D
Sivarajah AC12CS123 C B C B A C C D B B C C A B C D C C C D
Wendy B19EE0167 A C C D A B C C A A C D A A A D A B C D
Akmal B19EE0122 A C C D A B C C A A C D A A A D A B C D
Affendi B20EE0224 A D D C D A B C B B B C D B C A D B C D
Daniel B19EE0325 C B C B A C C D B B C C A B C D C C C D
Naufal B20EE0207 A D D C D A B C B B B C D B C A D B C D
Rafik B19EE0598 A B D D A C B D D B C A A D C D A B C D
Putra B22EE0389 C B C B A C C D B B C C A B C D C C C D
Putri B19EE0177 A D D C D A B C B B B C D B C A D B C D
Jakel B23EE0264 A B A D A C C D A B C D A D C D A B C D
Yakult B19EE0432 A D D C D A B C B B B C D B C A D B C D
Vitagen B21EE0341 A C C D A B C C A A C D A A A D A B C D
Ali B22EE0250 A D D C D A B C B B B C D B C A D B C D
Abu B18EE0110 A C C D A B C C A A C D A A A D A B C D
Ramen B22EE0232 A B A D A C C D A B C D A D C D A B C D
Tempura B22EE0226 A B A D A C C D A B C D A D C D A B C D
Nexus B22EE0273 A B A D A C C D A B C D A D C D A B C D
